Data,Target
£24.35,Pricing
12:15AM,Ticket
£29.40,Pricing
£26.35,Pricing
£20.70,Pricing
£19.50,Pricing
£21.35,Pricing
£12.55,Pricing
£17.95,Pricing
£2.50,Pricing
02:45,Ticket
£12.35,Pricing
£22.95,Pricing
£2.35,Pricing
Fri 20th June,Date
21:30,Ticket
Standard,Type
£4.65,Pricing
2:30am Ticket,Ticket
10:30pm Ticket | Main Entrance,Ticket
Sep,Date
2am,Ticket
Societies Tickets,Type
04:00,Ticket
£13.55,Pricing
£17.40,Pricing
£0.75,Pricing
Sports Societies Allocation,Type
£6.35,Pricing
£22.80,Pricing
£11.90,Pricing
1:30 Ticket,Ticket
£1.55,Pricing
2:45AM,Ticket
On Sale,State
£14.35,Pricing
£18.35,Pricing
£2.55,Pricing
£13.70,Pricing
£22.70,Pricing
£26.90,Pricing
£25.40,Pricing
£5.05,Pricing
£14.80,Pricing
March,Date
10:15pm Ticket,Ticket
£15.80,Pricing
£13.95,Pricing
£10.35,Pricing
£21.15,Pricing
£5.00,Pricing
£25.65,Pricing
£16.35,Pricing
Student,Type
Early Bird Ticket,Type
£19.15,Pricing
Standard Ticket,Type
£8.50,Pricing
£3.70,Pricing
Saturday 31st July,Date
VIP Entry,Type
75 Tickets Left,State
Unavaliable,State
£2.70,Pricing
Wednesday 14th July,Date
13/01/2021,Date
£29.20,Pricing
£4.25,Pricing
General,Type
£1.40,Pricing
1:30-2:00,Ticket
£27.00,Pricing
£28.90,Pricing
£27.45,Pricing
01/05/2021,Date
£13.30,Pricing
Sun 1st August,Date
Sports Allocation,Type
23/06/2021,Date
Oct,Date
£9.45,Pricing
01/12/2021,Date
£12.80,Pricing
£25.80,Pricing
20/06/2021,Date
09:45,Ticket
BCL Entrance,Type
Selling Quickly,State
£2.20,Pricing
Mon,Date
£13.60,Pricing
22:30,Ticket
£17.55,Pricing
08/06/2021,Date
Student Ticket,Type
Tickets Unavaliable,State
06/01/2021,Date
£26.00,Pricing
04:15,Ticket
£19.65,Pricing
Table Ticket,Type
£0.60,Pricing
Standard Ticket £10,Pricing
01/04/2021,Date
12:00am Ticket,Ticket
Standard,Type
£24.20,Pricing
31/01/2021,Date
£1.35,Pricing
£2.85,Pricing
9pm,Ticket
23:00,Ticket
Under 100 Left,State
£4.60,Pricing
November,Date
£22.40,Pricing
£11.65,Pricing
£27.90,Pricing
03/01/2021,Date
£23.80,Pricing
Standard,Type
£24.95,Pricing
May,Date
£5.99,Pricing
12:45am Ticket,Ticket
£29.00,Pricing
Sold Out,State
Sun 22nd Aug,Date
£9.80,Pricing
£0.65,Pricing
09:00,Ticket
£2.95,Pricing
22:00,Ticket
Society Ticket,Type
12pm Tickets,Ticket
9:00PM,Ticket
£22.90,Pricing
55 Tickets Left,State
£8.35,Pricing
£7.30,Pricing
£6.10,Pricing
£4.15,Pricing
£26.65,Pricing
85 Tickets Left,State
VIP Entry,Type
Standard Plus Ticket,Type
10/01/2021,Date
£4.10,Pricing
£25.05,Pricing
08:30,Ticket
+£0.90 booking fee,Pricing
£25.45,Pricing
£2.99,Pricing
Sat 14th August,Date
Mon 23rd Sep,Date
£28.05,Pricing
£9.65,Pricing
£13.45,Pricing
£11.60,Pricing
£18.45,Pricing
11:00,Ticket
19/06/2021,Date
Thur,Date
£3.30,Pricing
£17.70,Pricing
£11.30,Pricing
15 Tickets left,State
Wednesday 30 Jun,Date
£5.40,Pricing
£19.00,Pricing
£3.15,Pricing
£0.55,Pricing
£17.05,Pricing
£20.30,Pricing
£1.80,Pricing
£23.70,Pricing
9:00pm Ticket,Ticket
£13.65,Pricing
£23.90,Pricing
Wed,Date
£2.60,Pricing
Societies Allocation,Type
£23.35,Pricing
£15.20,Pricing
£27.40,Pricing
£17.85,Pricing
03:30,Ticket
£29.35,Pricing
1:45 Ticket,Ticket
Not Yet on Sale,State
£22.20,Pricing
£1.45,Pricing
9:15PM,Ticket
£27.15,Pricing
Saturday 17th July,Date
1:00AM,Ticket
£18.40,Pricing
£7.55,Pricing
