Data,Target
https://crisisnottingham.com/,Medium
https://levelnightclub.co.uk/#event_id=lrrhk18b,Very High
https://crisisnottingham.com/socials,Low
https://www.pryzm.co.uk/parties/hen-parties/,Low
https://www.pryzm.co.uk/bristol-venue-hire/,Low
https://crisisnottingham.com/posts/crisis-first-term-sold-out,Low
https://www.pryzm.co.uk/brighton-venue-hire/,Low
https://www.pryzm.co.uk/kingston-venue-hire/,Low
https://crisisnottingham.com/events/2021-07-11,Very High
https://www.pryzm.co.uk/portsmouth-venue-hire/,Low
https://crisisnottingham.com/jobs,Low
https://www.instagram.com/pryzmleeds/,Low
https://crisisnottingham.com/posts/introducing-crisis-sessions,Low
https://www.pryzm.co.uk/bookings,High
https://crisisnottingham.com/posts/coronavirus-update-thursday-18th-march,Low
https://fixr.co/event/199332342,Very High
https://www.pryzm.co.uk/club/leeds/contact,Low
https://crisisnottingham.com/termsandconditions,Low
https://www.pryzm.co.uk/club/watford/,Medium
https://blog.fixr.co/tag/event-announcements/,Low
https://www.pryzm.co.uk/cardiff-venue-hire/,Low
https://crisisnottingham.com/posts/term-1-ticket-release-19-20,Low
"https://www.google.com/maps/search/?api=1&query=53.80183889999996,-1.5454667999999856",Low
https://www.pryzm.co.uk/we-care/,Low
https://intercom.help/carpe-noctum/en,Low
https://crisisnottingham.com/business/boost/webinars-online-learning?ref=fb4b_2021_emea_featured2,Low
https://www.pryzm.co.uk/events/tickets,High
https://crisisnottingham.com/browse/fanned_pages/?id=158590084344544&showauxiliary=1&fanorigin=timeline_like_chaining&ref=page_internal,Low
https://crisisnottingham.com/events/tickets,High
https://fixr.co/event/728710406,Very High
https://levelnightclub.co.uk/#event_id=tlljk1yu,Very High
https://snapchat.com/add/wearecrisis,Low
https://crisisnottingham.com/events/2021-06-23,Very High
https://www.pryzm.co.uk/bingo-loco/,Low
https://fixr.co/event/895888593,Very High
https://www.pryzm.co.uk//saturdays,High
https://facebook.com/ilovecrisis,Low
https://instagram.com/wearecrisis,Low
https://www.pryzm.co.uk/book,High
https://crisisnottingham.com/login?redirectTo=/event-organisers,Low
